session,monkey,betaBaseline_LFP_canc,betaBaseline_LFP_noncanc,betaBaseline_LFP_nostop,targetBaseline_LFP_canc,targetBaseline_LFP_noncanc,targetBaseline_LFP_nostop
1,Euler,0.146666666666667,0.133971291866029,0.165668662674651,0.164444444444444,0.172248803827751,0.183632734530938
1,Euler,0.155555555555556,0.148325358851675,0.171656686626747,0.133333333333333,0.157894736842105,0.131736526946108
1,Euler,0.128888888888889,0.143540669856459,0.12375249500998,0.137777777777778,0.133971291866029,0.143712574850299
1,Euler,0.146666666666667,0.143540669856459,0.131736526946108,0.124444444444444,0.110047846889952,0.159680638722555
1,Euler,0.12,0.191387559808612,0.187624750499002,0.106666666666667,0.138755980861244,0.18562874251497
1,Euler,0.182222222222222,0.215311004784689,0.209580838323353,0.0844444444444444,0.0669856459330144,0.107784431137725
1,Euler,0.222222222222222,0.220095693779904,0.233532934131737,0.0755555555555556,0.0956937799043062,0.0598802395209581
1,Euler,0.186666666666667,0.205741626794258,0.17564870259481,0.08,0.124401913875598,0.0738522954091816
1,Euler,0.168888888888889,0.172248803827751,0.165668662674651,0.0844444444444444,0.133971291866029,0.115768463073852
1,Euler,0.142222222222222,0.129186602870813,0.141716566866267,0.12,0.129186602870813,0.135728542914172
1,Euler,0.124444444444444,0.129186602870813,0.143712574850299,0.102222222222222,0.157894736842105,0.12375249500998
1,Euler,0.12,0.143540669856459,0.139720558882236,0.0622222222222222,0.157894736842105,0.0878243512974052
1,Euler,0.16,0.143540669856459,0.13373253493014,0.0711111111111111,0.119617224880383,0.0698602794411178
1,Euler,0.168888888888889,0.119617224880383,0.13373253493014,0.0711111111111111,0.124401913875598,0.0818363273453094
1,Euler,0.155555555555556,0.124401913875598,0.135728542914172,0.106666666666667,0.119617224880383,0.093812375249501
1,Euler,0.128888888888889,0.0861244019138756,0.11377245508982,0.128888888888889,0.138755980861244,0.13373253493014
1,Euler,0.106666666666667,0.114832535885167,0.117764471057884,0.115555555555556,0.124401913875598,0.151696606786427
1,Euler,0.133333333333333,0.0956937799043062,0.117764471057884,0.151111111111111,0.148325358851675,0.143712574850299
1,Euler,0.12,0.119617224880383,0.119760479041916,0.173333333333333,0.157894736842105,0.159680638722555
1,Euler,0.12,0.119617224880383,0.11377245508982,0.155555555555556,0.157894736842105,0.161676646706587
2,Euler,0.156862745098039,0.167832167832168,0.201405152224824,0.0980392156862745,0.0909090909090909,0.0843091334894614
2,Euler,0.186274509803922,0.181818181818182,0.215456674473068,0.0980392156862745,0.0769230769230769,0.0585480093676815
2,Euler,0.181372549019608,0.195804195804196,0.185011709601874,0.132352941176471,0.0839160839160839,0.0913348946135831
2,Euler,0.161764705882353,0.125874125874126,0.166276346604215,0.102941176470588,0.132867132867133,0.11943793911007
2,Euler,0.147058823529412,0.125874125874126,0.17096018735363,0.132352941176471,0.160839160839161,0.147540983606557
2,Euler,0.107843137254902,0.153846153846154,0.128805620608899,0.191176470588235,0.160839160839161,0.154566744730679
2,Euler,0.0833333333333333,0.118881118881119,0.121779859484778,0.230392156862745,0.167832167832168,0.187353629976581
2,Euler,0.112745098039216,0.111888111888112,0.121779859484778,0.196078431372549,0.195804195804196,0.203747072599532
2,Euler,0.0882352941176471,0.104895104895105,0.152224824355972,0.215686274509804,0.160839160839161,0.22248243559719
2,Euler,0.102941176470588,0.0909090909090909,0.124121779859485,0.225490196078431,0.230769230769231,0.231850117096019
2,Euler,0.0931372549019608,0.125874125874126,0.126463700234192,0.215686274509804,0.167832167832168,0.220140515222482
2,Euler,0.0980392156862745,0.0909090909090909,0.124121779859485,0.220588235294118,0.258741258741259,0.243559718969555
2,Euler,0.142156862745098,0.104895104895105,0.121779859484778,0.196078431372549,0.195804195804196,0.206088992974239
2,Euler,0.127450980392157,0.104895104895105,0.138173302107728,0.230392156862745,0.216783216783217,0.22248243559719
2,Euler,0.0882352941176471,0.13986013986014,0.131147540983607,0.196078431372549,0.251748251748252,0.227166276346604
2,Euler,0.122549019607843,0.146853146853147,0.131147540983607,0.196078431372549,0.258741258741259,0.224824355971897
2,Euler,0.107843137254902,0.132867132867133,0.124121779859485,0.196078431372549,0.223776223776224,0.243559718969555
2,Euler,0.102941176470588,0.132867132867133,0.128805620608899,0.196078431372549,0.216783216783217,0.236533957845433
2,Euler,0.0980392156862745,0.146853146853147,0.138173302107728,0.240196078431373,0.251748251748252,0.241217798594848
2,Euler,0.102941176470588,0.132867132867133,0.149882903981265,0.21078431372549,0.244755244755245,0.262295081967213
3,Euler,0.186991869918699,0.207100591715976,0.200863930885529,0.142276422764228,0.153846153846154,0.125269978401728
3,Euler,0.178861788617886,0.207100591715976,0.220302375809935,0.105691056910569,0.142011834319527,0.142548596112311
3,Euler,0.178861788617886,0.230769230769231,0.213822894168467,0.126016260162602,0.130177514792899,0.129589632829374
3,Euler,0.17479674796748,0.218934911242604,0.19438444924406,0.0975609756097561,0.100591715976331,0.0863930885529158
3,Euler,0.272357723577236,0.260355029585799,0.237580993520518,0.0731707317073171,0.130177514792899,0.0842332613390929
3,Euler,0.268292682926829,0.201183431952663,0.196544276457883,0.0772357723577236,0.118343195266272,0.107991360691145
3,Euler,0.239837398373984,0.21301775147929,0.174946004319654,0.101626016260163,0.142011834319527,0.110151187904968
3,Euler,0.235772357723577,0.201183431952663,0.185745140388769,0.142276422764228,0.159763313609467,0.129589632829374
3,Euler,0.195121951219512,0.201183431952663,0.187904967602592,0.154471544715447,0.142011834319527,0.142548596112311
3,Euler,0.17479674796748,0.165680473372781,0.174946004319654,0.109756097560976,0.165680473372781,0.127429805615551
3,Euler,0.158536585365854,0.183431952662722,0.205183585313175,0.16260162601626,0.14792899408284,0.133909287257019
3,Euler,0.150406504065041,0.153846153846154,0.133909287257019,0.150406504065041,0.165680473372781,0.105831533477322
3,Euler,0.101626016260163,0.159763313609467,0.125269978401728,0.154471544715447,0.171597633136095,0.151187904967603
3,Euler,0.134146341463415,0.171597633136095,0.142548596112311,0.150406504065041,0.207100591715976,0.151187904967603
3,Euler,0.121951219512195,0.189349112426035,0.133909287257019,0.158536585365854,0.201183431952663,0.155507559395248
3,Euler,0.117886178861789,0.177514792899408,0.155507559395248,0.182926829268293,0.218934911242604,0.151187904967603
3,Euler,0.138211382113821,0.189349112426035,0.190064794816415,0.158536585365854,0.224852071005917,0.14902807775378
3,Euler,0.146341463414634,0.189349112426035,0.181425485961123,0.170731707317073,0.260355029585799,0.142548596112311
3,Euler,0.142276422764228,0.242603550295858,0.187904967602592,0.150406504065041,0.21301775147929,0.146868250539957
3,Euler,0.158536585365854,0.236686390532544,0.207343412526998,0.16260162601626,0.177514792899408,0.146868250539957
4,Euler,0.161971830985915,0.160427807486631,0.192660550458716,0.0704225352112676,0.0802139037433155,0.0715596330275229
4,Euler,0.116197183098592,0.117647058823529,0.141284403669725,0.0880281690140845,0.0909090909090909,0.0935779816513762
4,Euler,0.105633802816901,0.0909090909090909,0.130275229357798,0.119718309859155,0.176470588235294,0.146788990825688
4,Euler,0.109154929577465,0.0909090909090909,0.130275229357798,0.126760563380282,0.165775401069519,0.146788990825688
4,Euler,0.112676056338028,0.0748663101604278,0.13394495412844,0.154929577464789,0.155080213903743,0.130275229357798
4,Euler,0.123239436619718,0.0695187165775401,0.119266055045872,0.144366197183099,0.106951871657754,0.100917431192661
4,Euler,0.137323943661972,0.0802139037433155,0.11743119266055,0.140845070422535,0.149732620320856,0.122935779816514
4,Euler,0.112676056338028,0.0695187165775401,0.113761467889908,0.158450704225352,0.160427807486631,0.13394495412844
4,Euler,0.0774647887323944,0.0641711229946524,0.0844036697247706,0.144366197183099,0.176470588235294,0.143119266055046
4,Euler,0.109154929577465,0.053475935828877,0.0770642201834862,0.161971830985915,0.155080213903743,0.172477064220183
4,Euler,0.0774647887323944,0.0855614973262032,0.073394495412844,0.197183098591549,0.203208556149733,0.177981651376147
4,Euler,0.0809859154929577,0.0962566844919786,0.0990825688073395,0.186619718309859,0.20855614973262,0.222018348623853
4,Euler,0.102112676056338,0.117647058823529,0.113761467889908,0.183098591549296,0.144385026737968,0.188990825688073
4,Euler,0.0809859154929577,0.112299465240642,0.115596330275229,0.158450704225352,0.165775401069519,0.188990825688073
4,Euler,0.116197183098592,0.128342245989305,0.122935779816514,0.172535211267606,0.181818181818182,0.154128440366972
4,Euler,0.105633802816901,0.128342245989305,0.130275229357798,0.158450704225352,0.171122994652406,0.187155963302752
4,Euler,0.130281690140845,0.128342245989305,0.128440366972477,0.169014084507042,0.160427807486631,0.18348623853211
4,Euler,0.112676056338028,0.165775401069519,0.155963302752294,0.176056338028169,0.171122994652406,0.188990825688073
4,Euler,0.112676056338028,0.13903743315508,0.15045871559633,0.183098591549296,0.203208556149733,0.192660550458716
4,Euler,0.109154929577465,0.122994652406417,0.143119266055046,0.179577464788732,0.224598930481283,0.194495412844037
5,Euler,0.165217391304348,0.224598930481283,0.175438596491228,0.134782608695652,0.0695187165775401,0.0896686159844055
5,Euler,0.130434782608696,0.171122994652406,0.167641325536062,0.117391304347826,0.0374331550802139,0.0916179337231969
5,Euler,0.156521739130435,0.176470588235294,0.152046783625731,0.143478260869565,0.0962566844919786,0.115009746588694
5,Euler,0.147826086956522,0.176470588235294,0.179337231968811,0.139130434782609,0.117647058823529,0.138401559454191
5,Euler,0.108695652173913,0.165775401069519,0.124756335282651,0.143478260869565,0.171122994652406,0.140350877192982
5,Euler,0.130434782608696,0.112299465240642,0.128654970760234,0.130434782608696,0.197860962566845,0.169590643274854
5,Euler,0.104347826086957,0.149732620320856,0.146198830409357,0.117391304347826,0.160427807486631,0.16374269005848
5,Euler,0.126086956521739,0.117647058823529,0.132553606237817,0.134782608695652,0.128342245989305,0.132553606237817
5,Euler,0.0826086956521739,0.106951871657754,0.0974658869395711,0.134782608695652,0.122994652406417,0.15009746588694
5,Euler,0.0826086956521739,0.0909090909090909,0.0935672514619883,0.126086956521739,0.128342245989305,0.132553606237817
5,Euler,0.0826086956521739,0.144385026737968,0.101364522417154,0.11304347826087,0.176470588235294,0.130604288499025
5,Euler,0.0869565217391304,0.122994652406417,0.0974658869395711,0.0956521739130435,0.160427807486631,0.144249512670565
5,Euler,0.0956521739130435,0.128342245989305,0.0955165692007797,0.11304347826087,0.165775401069519,0.153996101364522
5,Euler,0.117391304347826,0.128342245989305,0.10916179337232,0.134782608695652,0.165775401069519,0.148148148148148
5,Euler,0.104347826086957,0.155080213903743,0.120857699805068,0.126086956521739,0.133689839572193,0.1364522417154
5,Euler,0.117391304347826,0.144385026737968,0.116959064327485,0.108695652173913,0.160427807486631,0.138401559454191
5,Euler,0.121739130434783,0.160427807486631,0.120857699805068,0.143478260869565,0.155080213903743,0.138401559454191
5,Euler,0.121739130434783,0.144385026737968,0.138401559454191,0.139130434782609,0.133689839572193,0.1364522417154
5,Euler,0.139130434782609,0.165775401069519,0.144249512670565,0.139130434782609,0.144385026737968,0.146198830409357
5,Euler,0.134782608695652,0.144385026737968,0.148148148148148,0.160869565217391,0.197860962566845,0.152046783625731
6,Euler,0.142857142857143,0.187096774193548,0.153488372093023,0.116071428571429,0.103225806451613,0.12093023255814
6,Euler,0.183035714285714,0.193548387096774,0.188372093023256,0.116071428571429,0.0838709677419355,0.0767441860465116
6,Euler,0.138392857142857,0.135483870967742,0.153488372093023,0.147321428571429,0.032258064516129,0.0790697674418605
6,Euler,0.129464285714286,0.129032258064516,0.127906976744186,0.165178571428571,0.0774193548387097,0.0883720930232558
6,Euler,0.133928571428571,0.154838709677419,0.130232558139535,0.165178571428571,0.103225806451613,0.132558139534884
6,Euler,0.147321428571429,0.0838709677419355,0.125581395348837,0.151785714285714,0.174193548387097,0.174418604651163
6,Euler,0.111607142857143,0.12258064516129,0.106976744186047,0.183035714285714,0.225806451612903,0.176744186046512
6,Euler,0.129464285714286,0.0709677419354839,0.0953488372093023,0.15625,0.232258064516129,0.188372093023256
6,Euler,0.116071428571429,0.0967741935483871,0.086046511627907,0.142857142857143,0.212903225806452,0.176744186046512
6,Euler,0.102678571428571,0.0451612903225806,0.0767441860465116,0.160714285714286,0.206451612903226,0.193023255813953
6,Euler,0.09375,0.0451612903225806,0.0674418604651163,0.183035714285714,0.212903225806452,0.17906976744186
6,Euler,0.0982142857142857,0.0580645161290323,0.0813953488372093,0.1875,0.225806451612903,0.183720930232558
6,Euler,0.111607142857143,0.0645161290322581,0.0837209302325581,0.196428571428571,0.225806451612903,0.181395348837209
6,Euler,0.09375,0.0709677419354839,0.0604651162790698,0.200892857142857,0.212903225806452,0.218604651162791
6,Euler,0.107142857142857,0.0838709677419355,0.086046511627907,0.178571428571429,0.2,0.188372093023256
6,Euler,0.116071428571429,0.0580645161290323,0.0837209302325581,0.227678571428571,0.219354838709677,0.186046511627907
6,Euler,0.125,0.0774193548387097,0.0906976744186047,0.232142857142857,0.251612903225806,0.2
6,Euler,0.102678571428571,0.0709677419354839,0.086046511627907,0.209821428571429,0.232258064516129,0.153488372093023
6,Euler,0.111607142857143,0.0645161290322581,0.0883720930232558,0.205357142857143,0.212903225806452,0.186046511627907
6,Euler,0.125,0.0451612903225806,0.0790697674418605,0.227678571428571,0.232258064516129,0.176744186046512
7,Xena,0.239382239382239,0.231292517006803,0.225352112676056,0.297297297297297,0.346938775510204,0.344064386317907
7,Xena,0.38996138996139,0.26530612244898,0.372233400402414,0.397683397683398,0.312925170068027,0.438631790744467
7,Xena,0.254826254826255,0.217687074829932,0.245472837022133,0.359073359073359,0.360544217687075,0.358148893360161
7,Xena,0.262548262548263,0.204081632653061,0.263581488933602,0.32046332046332,0.374149659863946,0.35010060362173
7,Xena,0.28957528957529,0.217687074829932,0.253521126760563,0.312741312741313,0.319727891156463,0.354124748490946
7,Xena,0.239382239382239,0.210884353741497,0.255533199195171,0.374517374517374,0.306122448979592,0.344064386317907
7,Xena,0.254826254826255,0.251700680272109,0.23943661971831,0.366795366795367,0.353741496598639,0.329979879275654
7,Xena,0.277992277992278,0.238095238095238,0.261569416498994,0.382239382239382,0.312925170068027,0.378269617706237
7,Xena,0.274131274131274,0.231292517006803,0.263581488933602,0.335907335907336,0.346938775510204,0.344064386317907
7,Xena,0.254826254826255,0.224489795918367,0.235412474849095,0.32046332046332,0.346938775510204,0.364185110663984
7,Xena,0.227799227799228,0.251700680272109,0.219315895372233,0.281853281853282,0.306122448979592,0.311871227364185
7,Xena,0.216216216216216,0.285714285714286,0.233400402414487,0.28957528957529,0.217687074829932,0.297786720321932
7,Xena,0.27027027027027,0.224489795918367,0.24748490945674,0.193050193050193,0.210884353741497,0.235412474849095
7,Xena,0.227799227799228,0.17687074829932,0.263581488933602,0.189189189189189,0.238095238095238,0.243460764587525
7,Xena,0.231660231660232,0.170068027210884,0.233400402414487,0.216216216216216,0.27891156462585,0.249496981891348
7,Xena,0.235521235521236,0.163265306122449,0.229376257545272,0.227799227799228,0.292517006802721,0.23943661971831
7,Xena,0.231660231660232,0.19047619047619,0.24748490945674,0.212355212355212,0.258503401360544,0.277665995975855
7,Xena,0.239382239382239,0.204081632653061,0.255533199195171,0.227799227799228,0.258503401360544,0.261569416498994
7,Xena,0.223938223938224,0.217687074829932,0.245472837022133,0.223938223938224,0.26530612244898,0.263581488933602
7,Xena,0.239382239382239,0.170068027210884,0.215291750503018,0.231660231660232,0.272108843537415,0.23943661971831
8,Xena,0.258426966292135,0.215469613259669,0.236764705882353,0.355805243445693,0.392265193370166,0.332352941176471
8,Xena,0.310861423220974,0.248618784530387,0.279411764705882,0.411985018726592,0.502762430939227,0.436764705882353
8,Xena,0.288389513108614,0.226519337016575,0.247058823529412,0.337078651685393,0.408839779005525,0.327941176470588
8,Xena,0.273408239700375,0.226519337016575,0.242647058823529,0.363295880149813,0.397790055248619,0.385294117647059
8,Xena,0.269662921348315,0.276243093922652,0.233823529411765,0.355805243445693,0.392265193370166,0.344117647058824
8,Xena,0.247191011235955,0.287292817679558,0.223529411764706,0.325842696629214,0.392265193370166,0.316176470588235
8,Xena,0.224719101123595,0.248618784530387,0.238235294117647,0.333333333333333,0.337016574585635,0.292647058823529
8,Xena,0.235955056179775,0.259668508287293,0.225,0.310861423220974,0.337016574585635,0.286764705882353
8,Xena,0.224719101123595,0.237569060773481,0.245588235294118,0.288389513108614,0.331491712707182,0.273529411764706
8,Xena,0.247191011235955,0.25414364640884,0.211764705882353,0.303370786516854,0.303867403314917,0.247058823529412
8,Xena,0.250936329588015,0.243093922651934,0.219117647058824,0.299625468164794,0.314917127071823,0.261764705882353
8,Xena,0.243445692883895,0.276243093922652,0.238235294117647,0.310861423220974,0.325966850828729,0.25
8,Xena,0.209737827715356,0.243093922651934,0.198529411764706,0.213483146067416,0.259668508287293,0.233823529411765
8,Xena,0.209737827715356,0.281767955801105,0.216176470588235,0.220973782771536,0.331491712707182,0.254411764705882
8,Xena,0.213483146067416,0.265193370165746,0.214705882352941,0.228464419475655,0.331491712707182,0.252941176470588
8,Xena,0.198501872659176,0.276243093922652,0.222058823529412,0.258426966292135,0.303867403314917,0.244117647058824
8,Xena,0.224719101123595,0.281767955801105,0.216176470588235,0.250936329588015,0.276243093922652,0.232352941176471
8,Xena,0.213483146067416,0.298342541436464,0.214705882352941,0.247191011235955,0.298342541436464,0.238235294117647
8,Xena,0.187265917602996,0.243093922651934,0.225,0.247191011235955,0.30939226519337,0.269117647058824
8,Xena,0.235955056179775,0.281767955801105,0.223529411764706,0.273408239700375,0.30939226519337,0.222058823529412
9,Xena,0.300653594771242,0.29126213592233,0.268929503916449,0.254901960784314,0.330097087378641,0.289817232375979
9,Xena,0.274509803921569,0.281553398058252,0.279373368146214,0.26797385620915,0.320388349514563,0.268929503916449
9,Xena,0.281045751633987,0.300970873786408,0.276762402088773,0.287581699346405,0.330097087378641,0.289817232375979
9,Xena,0.281045751633987,0.310679611650485,0.276762402088773,0.228758169934641,0.29126213592233,0.279373368146214
9,Xena,0.281045751633987,0.262135922330097,0.255874673629243,0.261437908496732,0.359223300970874,0.295039164490862
