label,monkey,target,saccade,stopSignal,tone
EEG,Euler,0.146666666666667,0.503875968992248,0.182222222222222,0.04
EEG,Euler,0.140718562874251,0.481283422459893,0.122754491017964,0.0449101796407186
EEG,Euler,0.136807817589577,0.416107382550336,0.143322475570033,0.0456026058631922
EEG,Euler,0.162162162162162,0.442028985507246,0.125,0.0810810810810811
EEG,Euler,0.145569620253165,0.36986301369863,0.183544303797468,0.0126582278481013
EEG,Euler,0.174142480211082,0.337016574585635,0.216358839050132,0.0686015831134565
EEG,Xena,0.262693156732892,0.316498316498317,0.286975717439294,0.218543046357616
EEG,Xena,0.240437158469945,0.425,0.352459016393443,0.322404371584699
EEG,Xena,0.200455580865604,0.3125,0.236902050113895,0.152619589977221
EEG,Xena,0.201044386422977,0.308988764044944,0.234986945169713,0.227154046997389
EEG,Xena,0.276422764227642,0.386266094420601,0.260162601626016,0.197831978319783
EEG,Xena,0.236,0.32484076433121,0.288,0.244
EEG,Xena,0.223776223776224,0.383333333333333,0.251748251748252,0.230769230769231
EEG,Xena,0.214953271028037,0.325581395348837,0.303738317757009,0.186915887850467
EEG,Xena,0.194029850746269,0.431372549019608,0.243781094527363,0.18407960199005
EEG,Xena,0.21259842519685,0.28695652173913,0.244094488188976,0.181102362204724
L2,Euler,0.126666666666667,0.246124031007752,0.0922222222222222,0.122222222222222
L2,Euler,0.148203592814371,0.431818181818182,0.0523952095808383,0.159431137724551
L2,Euler,0.162052117263844,0.327181208053691,0.106677524429967,0.14413680781759
L2,Euler,0.127533783783784,0.342391304347826,0.100506756756757,0.127533783783784
L2,Euler,0.134493670886076,0.270547945205479,0.106012658227848,0.177215189873418
L2,Euler,0.186015831134565,0.321823204419889,0.0976253298153034,0.20910290237467
L2,Xena,0.23233995584989,0.184343434343434,0.289183222958057,0.194812362030905
L2,Xena,0.23224043715847,0.2225,0.243169398907104,0.200136612021858
L2,Xena,0.230068337129841,0.207589285714286,0.225512528473804,0.169703872437358
L2,Xena,0.241514360313316,0.164325842696629,0.237597911227154,0.184725848563969
L2,Xena,0.227642276422764,0.204935622317597,0.200542005420054,0.208672086720867
L2,Xena,0.232,0.243630573248408,0.252,0.195
L2,Xena,0.288461538461538,0.229166666666667,0.192307692307692,0.127622377622378
L2,Xena,0.25,0.244186046511628,0.202102803738318,0.19392523364486
L2,Xena,0.199004975124378,0.223039215686275,0.220149253731343,0.182835820895522
L2,Xena,0.257874015748031,0.145652173913043,0.201771653543307,0.153543307086614
L3,Euler,0.191111111111111,0.302325581395349,0.183333333333333,0.147777777777778
L3,Euler,0.122005988023952,0.355614973262032,0.0606287425149701,0.11751497005988
L3,Euler,0.185667752442997,0.402684563758389,0.0846905537459283,0.20114006514658
L3,Euler,0.152871621621622,0.338768115942029,0.122466216216216,0.120777027027027
L3,Euler,0.0949367088607595,0.332191780821918,0.0506329113924051,0.126582278481013
L3,Euler,0.193271767810026,0.334254143646409,0.101583113456464,0.221635883905013
L3,Xena,0.274282560706402,0.2003367003367,0.238962472406181,0.154525386313466
L3,Xena,0.243169398907104,0.21625,0.234972677595628,0.184426229508197
L3,Xena,0.216970387243736,0.232142857142857,0.20501138952164,0.157744874715262
L3,Xena,0.242819843342037,0.195224719101124,0.253263707571802,0.206266318537859
L3,Xena,0.241869918699187,0.190987124463519,0.194444444444444,0.19579945799458
L3,Xena,0.233,0.227707006369427,0.243,0.201
L3,Xena,0.206293706293706,0.241666666666667,0.25,0.18006993006993
L3,Xena,0.255841121495327,0.218023255813953,0.23714953271028,0.198598130841121
L3,Xena,0.215174129353234,0.186274509803922,0.199004975124378,0.174129353233831
L3,Xena,0.238188976377953,0.147826086956522,0.224409448818898,0.178149606299213
L5,Euler,0.158888888888889,0.348837209302326,0.12,0.22
L5,Euler,0.150449101796407,0.36096256684492,0.0688622754491018,0.110778443113772
L5,Euler,0.144951140065147,0.338926174496644,0.0773615635179153,0.146579804560261
L5,Euler,0.15625,0.340579710144928,0.120777027027027,0.157939189189189
L5,Euler,0.174050632911392,0.339041095890411,0.10126582278481,0.117088607594937
L5,Euler,0.135883905013193,0.272099447513812,0.0408970976253298,0.171503957783641
L5,Xena,0.219094922737307,0.202020202020202,0.205849889624724,0.181015452538631
L5,Xena,0.227459016393443,0.25,0.265710382513661,0.224043715846995
L5,Xena,0.232915717539863,0.232142857142857,0.225512528473804,0.17995444191344
L5,Xena,0.225848563968668,0.196629213483146,0.234986945169713,0.216710182767624
L5,Xena,0.251355013550136,0.194206008583691,0.180216802168022,0.185636856368564
L5,Xena,0.209,0.219745222929936,0.193,0.191
L5,Xena,0.241258741258741,0.233333333333333,0.263986013986014,0.173076923076923
L5,Xena,0.303738317757009,0.209302325581395,0.200934579439252,0.144859813084112
L5,Xena,0.222636815920398,0.191176470588235,0.200248756218905,0.167910447761194
L5,Xena,0.255905511811024,0.169565217391304,0.227362204724409,0.171259842519685
L6,Euler,0.173333333333333,0.35968992248062,0.0986666666666667,0.213333333333333
L6,Euler,0.167065868263473,0.40427807486631,0.120958083832335,0.12814371257485
L6,Euler,0.100325732899023,0.264429530201342,0.0521172638436482,0.144625407166124
L6,Euler,0.151182432432432,0.33695652173913,0.117398648648649,0.159628378378378
L6,Euler,0.20253164556962,0.342465753424658,0.107594936708861,0.170886075949367
L6,Euler,0.111345646437995,0.175690607734807,0.0437994722955145,0.126121372031662
L6,Xena,NaN,NaN,NaN,NaN
L6,Xena,0.203825136612022,0.254,0.268306010928962,0.236612021857924
L6,Xena,0.256036446469248,0.221428571428571,0.204100227790433,0.138952164009112
L6,Xena,0.219321148825065,0.157303370786517,0.206266318537859,0.195822454308094
L6,Xena,0.241192411924119,0.197424892703863,0.192411924119241,0.176151761517615
L6,Xena,0.194666666666667,0.210191082802548,0.193333333333333,0.182666666666667
L6,Xena,0.253496503496503,0.2625,0.229020979020979,0.167832167832168
L6,Xena,0.199766355140187,0.186046511627907,0.264018691588785,0.136682242990654
L6,Xena,0.232835820895522,0.156862745098039,0.185074626865672,0.206965174129353
L6,Xena,0.248031496062992,0.193478260869565,0.197834645669291,0.173228346456693
